cityName,country,lat,lng,temp,humidity,cloudiness,winds
hermanus,za,-34.42,19.24,52.6,91,48,5.75
lavrentiya,ru,65.58,-170.99,39.37,92,68,8.43
qaanaaq,gl,77.48,-69.36,32.62,93,56,4.29
butaritari,ki,3.07,172.79,84.46,100,44,3.51
helong,cn,25.94,116.13,81.4,81,80,5.3
kodiak,us,39.95,-94.76,80.6,65,1,6.93
batagay-alyta,ru,67.8,130.41,75.91,37,0,4.07
lipin bor,ru,60.26,37.97,61.51,85,88,17.16
atasu,kz,48.68,71.64,71.59,41,68,4.85
busselton,au,-33.64,115.35,60.07,100,0,7.54
te anau,nz,-45.41,167.72,38.29,88,20,10.67
hobart,au,-42.88,147.33,50.0,61,40,11.41
vaini,to,15.34,74.49,68.8,100,100,3.62
balatonalmadi,hu,47.04,18.02,50.0,93,0,7.43
mar del plata,ar,-46.43,-67.52,34.69,90,0,13.91
dikson,ru,73.51,80.55,32.26,98,76,12.24
hithadhoo,mv,-0.6,73.08,81.67,100,64,5.86
souillac,mu,45.6,-0.6,59.81,59,0,6.93
bluff,nz,-23.58,149.07,73.84,32,20,8.55
upernavik,gl,72.79,-56.15,29.83,100,76,4.07
airai,pw,-8.93,125.41,80.86,43,0,2.84
yulara,au,-25.24,130.99,57.2,35,0,10.29
port alfred,za,-33.59,26.89,62.59,89,0,19.73
saint-philippe,re,45.36,-73.48,60.35,87,90,6.31
pringsewu,id,-5.36,104.98,74.74,98,76,2.39
havoysund,no,71.0,24.66,42.8,100,92,19.46
ushuaia,ar,-54.81,-68.31,28.4,86,75,5.82
nishihara,jp,35.74,139.53,69.13,88,90,4.7
cape town,za,-33.93,18.42,55.4,93,75,2.24
fort nelson,ca,58.81,-122.69,80.6,28,75,5.82
tuktoyaktuk,ca,69.44,-133.03,35.6,93,90,14.99
coahuayana,mx,18.62,-100.35,64.12,95,76,2.17
ulaanbaatar,mn,47.92,106.92,60.8,63,40,11.18
mazyr,by,52.05,29.27,51.97,98,76,12.12
kapaa,us,22.08,-159.32,84.2,66,20,20.8
neyshabur,ir,36.21,58.79,77.62,29,36,10.0
carnarvon,au,-30.97,22.13,21.28,72,8,3.06
peace river,ca,56.23,-117.29,78.8,36,75,11.41
mataura,pf,-46.19,168.86,45.58,76,0,15.26
lajas,us,22.41,-80.29,78.03,94,0,5.82
rikitea,pf,-23.12,-134.97,76.54,100,12,12.68
namtsy,ru,62.72,129.66,63.76,60,92,3.4
gornopravdinsk,ru,60.06,69.92,59.62,95,88,9.22
necochea,ar,-38.55,-58.74,40.81,91,0,20.62
punta arenas,cl,-53.16,-70.91,33.8,100,90,10.29
lodwar,ke,3.12,35.6,67.36,88,80,2.95
geraldton,ca,49.72,-86.95,46.4,87,90,12.75
new norfolk,au,-42.78,147.06,50.0,61,40,11.41
namatanai,pg,-3.66,152.44,80.59,100,64,5.86
tagab,af,34.85,69.65,64.4,34,0,3.36
jamestown,sh,-33.21,138.6,56.29,48,0,6.2
chokurdakh,ru,70.62,147.9,52.33,83,0,8.66
iqaluit,ca,63.75,-68.52,42.8,70,75,14.99
katsuura,jp,33.93,134.5,75.2,69,20,11.41
nanhai,cn,30.13,111.78,77.8,99,76,2.62
ulundi,za,-28.29,31.43,43.96,40,0,4.74
klaebu,no,63.3,10.48,48.88,93,75,11.41
sao filipe,cv,14.9,-24.5,72.49,100,0,12.01
palora,ec,-1.7,-77.97,58.54,98,36,2.73
cidreira,br,-30.17,-50.22,62.32,89,80,13.69
ishinomaki,jp,38.42,141.3,77.0,61,40,9.17
mahebourg,mu,-20.41,57.7,71.6,68,75,8.05
jacareacanga,br,-6.22,-57.76,80.5,64,44,3.74
kenai,us,60.55,-151.26,52.72,76,90,12.75
tasiilaq,gl,65.61,-37.64,39.2,86,75,6.93
deputatskiy,ru,69.3,139.9,71.86,26,0,4.63
svetlaya,ru,46.54,138.33,48.73,100,92,10.56
portland,au,45.52,-122.67,74.75,47,40,9.17
shache,cn,38.42,77.24,74.02,45,12,4.41
nikolskoye,ru,59.7,30.79,60.8,59,0,4.47
kavieng,pg,-2.57,150.8,83.74,100,32,0.94
georgetown,us,6.8,-58.16,77.0,94,40,4.7
albany,au,42.65,-73.75,58.26,82,90,2.39
tiksi,ru,71.64,128.87,77.8,46,20,4.18
north bend,us,43.41,-124.22,63.43,68,1,25.28
talnakh,ru,69.49,88.39,62.68,61,0,5.19
boende,cd,-0.28,20.88,68.71,96,0,2.17
alice springs,au,-23.7,133.88,55.4,29,0,9.17
nenjiang,cn,49.17,125.23,69.88,76,44,8.1
anjar,in,33.73,35.93,70.27,61,20,5.82
kyzyl-suu,kg,42.34,78.0,61.42,88,36,2.39
kuala lipis,my,4.19,102.05,77.26,99,12,4.18
kandi,bj,11.13,2.93,73.75,91,20,8.1
toktogul,kg,41.87,72.95,47.2,99,92,2.06
ormara,pk,25.21,64.64,84.64,91,80,4.97
yellowknife,ca,62.45,-114.38,66.2,82,75,10.29
luderitz,na,-26.65,15.16,47.38,93,0,12.8
bredasdorp,za,-34.53,20.04,57.2,71,92,8.05
otane,nz,-39.89,176.62,52.78,66,8,13.24
mezhdurechensk,ru,53.69,88.07,73.57,66,56,2.73
leningradskiy,ru,69.38,178.42,33.7,92,20,13.35
sharan,af,33.15,68.78,65.29,58,0,3.62
severo-kurilsk,ru,50.68,156.12,46.03,91,68,14.03
nantucket,us,41.28,-70.1,62.6,93,90,17.16
lorengau,pg,-2.02,147.27,82.12,100,64,4.18
maceio,br,-9.67,-35.74,75.2,73,0,5.82
clyde river,ca,70.47,-68.59,41.0,75,20,3.36
huarmey,pe,-10.07,-78.15,50.71,92,0,3.4
beba,eg,22.44,-79.73,80.6,74,40,4.7
longyearbyen,sj,78.22,15.63,48.2,42,0,12.75
west lake stevens,us,48.0,-122.1,71.02,53,90,3.36
victoria,sc,5.28,115.24,81.21,83,75,4.7
yantal,ru,56.85,105.25,71.32,60,0,6.08
labytnangi,ru,66.66,66.39,59.89,64,0,14.7
biltine,td,14.53,20.93,70.69,85,68,10.0
nanortalik,gl,60.14,-45.24,35.59,100,88,8.1
puerto ayora,ec,-0.74,-90.35,71.5,99,12,10.67
yarega,ru,63.43,53.58,67.36,69,8,3.51
kushiro,jp,43.11,144.15,66.2,77,75,9.17
hollins,us,37.35,-79.95,72.16,61,75,3.36
pemba,mz,-12.97,40.52,76.99,100,44,15.93
lamtah,tn,35.67,10.88,73.4,88,75,6.93
ekhabi,ru,53.51,142.97,49.81,97,76,12.68
havre-saint-pierre,ca,50.23,-63.6,55.4,76,90,4.7
chifeng,cn,42.27,118.96,80.32,56,68,5.3
pytalovo,ru,57.06,27.92,52.96,100,100,7.65
kabinda,cd,-6.14,24.49,65.29,89,0,2.95
megion,ru,61.04,76.11,55.4,100,75,13.42
hofn,is,64.25,-15.21,48.82,93,36,8.66
cockburn town,bs,21.46,-71.14,81.22,99,0,21.52
kapit,my,2.02,112.94,71.77,100,92,1.72
cherskiy,ru,68.75,161.3,60.16,44,80,5.3
san policarpo,ph,12.18,125.51,84.01,99,12,5.64
ribeira grande,pt,38.52,-28.7,70.69,100,92,4.97
mangrol,in,25.33,76.51,88.69,60,0,12.01
hvide sande,dk,56.01,8.13,53.6,93,100,13.87
mocuba,mz,-16.84,36.99,63.67,88,80,4.18
ostrovnoy,ru,68.05,39.51,56.83,67,0,17.49
tefe,br,-3.35,-64.71,74.56,95,0,4.29
chuy,uy,-33.69,-53.46,48.19,96,0,16.93
cordoba,es,5.59,-73.79,50.8,81,44,2.17
lapua,fi,62.97,23.01,44.6,93,0,2.24
bilibino,ru,68.06,166.44,64.12,82,64,0.38
saldanha,za,41.42,-6.55,61.33,70,0,4.74
raudeberg,no,61.99,5.14,51.8,93,88,5.82
khatanga,ru,71.98,102.47,53.86,86,68,11.01
mombetsu,jp,44.35,143.35,59.0,87,75,9.17
otofuke,jp,43.02,143.2,73.4,60,40,2.24
damghan,ir,36.17,54.34,71.05,49,8,4.41
kalmunai,lk,7.42,81.82,81.31,89,8,7.99
qaqortoq,gl,60.72,-46.03,41.0,80,75,3.36
port blair,in,11.67,92.75,82.66,100,76,17.83
gwadar,pk,25.12,62.33,85.81,97,76,4.74
wala,pa,11.17,13.76,72.94,80,36,10.89
aswan,eg,24.09,32.9,84.55,34,0,11.23
mau,in,25.94,83.57,93.01,60,12,7.65
murgab,tm,37.5,61.97,71.6,43,0,4.7
kuytun,cn,54.34,101.51,72.76,51,20,3.4
kungurtug,ru,50.6,97.53,65.29,47,0,3.85
escanaba,us,45.75,-87.06,66.2,77,1,4.7
